avg price;overall_rating;nation;league;skills;weakfoot;revision;pac;sho;pas;dri;def;phy
500;78;Chile;Serie A TiM;3;3;Normal;64;61;75;74;76;78
2033;76;Germany;Bundesliga;2;2;CL;74;48;67;66;76;76
200000;85;Argentina;Premier League;2;3;Halloween;80;59;64;71;85;80
817;76;Holland;Serie A TiM;3;4;Normal;46;57;66;65;76;74
567;79;England;Premier League;3;3;Normal;78;49;71;77;76;75
2400;75;Argentina;SAF;3;4;Normal;90;63;72;75;56;75
13083;85;Holland;Serie A TiM;2;4;CL;67;58;66;69;83;84
733;77;Poland;Premier League;2;3;Normal;62;22;52;56;78;74
1033;80;France;Ligue 1 Conforama;3;3;Normal;70;61;75;74;75;78
1467;75;Germany;Bundesliga;4;3;Normal;73;70;73;79;44;48
950;75;Brazil;LaLiga Santander;2;2;Normal;58;32;43;53;75;76
750;79;Japan;Liga NOS;4;4;Normal;90;73;72;83;37;50
10250;85;Belgium;Bundesliga;4;4;CL;73;74;80;80;83;81
1233;76;Brazil;Liga NOS;2;2;;65;28;44;50;77;72
967;78;Brazil;Liga NOS;2;3;Normal;66;42;56;58;79;76
983;79;Côte d'ivoire;Bundesliga;4;3;Normal;65;78;74;85;43;59
650;75;Japan;Premier League;2;4;Normal;55;41;51;63;76;72
1233;82;Uruguay;Premier League;3;3;Normal;75;67;77;80;81;75
500;76;Denmark;Eredivisie;3;3;Normal;71;76;70;73;39;76
1033;77;Brazil;Ligue 1 Conforama;2;2;Normal;58;52;48;60;79;77
1233;78;Turkey;Ligue 1 Conforama;4;4;CL;75;74;78;81;47;74
1667;76;France;Bundesliga;2;3;Normal;68;44;59;61;76;74
3700;83;Poland;Serie A TiM;4;3;CL;69;85;64;76;39;74
48083;87;Spain;LaLiga Santander;3;3;Normal;90;69;81;83;79;73
43333;86;Germany;Premier League;4;4;iF;68;77;86;86;74;73
800;77;England;Premier League;3;3;Normal;69;70;76;79;73;74
850;79;Ghana;Serie A TiM;4;4;Normal;65;79;78;80;67;77
15000;84;Argentina;Liga NOS;4;3;iF;80;77;85;87;81;87
700;79;italy;CSL;4;4;Normal;86;78;73;82;29;65
700;76;Ecuador;LiGA Bancomer MX;4;3;Normal;87;75;67;74;39;74
1100;77;Portugal;Liga NOS;3;3;CL;72;70;76;79;57;51
2250667;90;Brazil;icons;4;4;icon;94;90;77;91;42;72
1733;78;Germany;Bundesliga;4;4;Normal;73;66;75;82;64;68
11083;78;FYR Macedonia;Süper Lig;3;3;iF;68;80;53;72;39;81
1133;78;Denmark;Ligue 1 Conforama;2;3;CL;60;40;54;56;78;79
867;75;Germany;Eredivisie;2;3;Normal;70;34;55;51;76;75
1300;80;Senegal;Bundesliga;2;3;Normal;62;49;65;64;80;81
3067;75;Brazil;Ligue 1 Conforama;3;2;CL;89;63;68;79;38;52
1600;81;Germany;Serie A TiM;3;4;CL;70;68;77;79;81;84
1300;79;Argentina;Major League Soccer;4;3;Normal;91;76;75;78;49;74
1300;79;England;Premier League;4;5;CL;67;71;79;82;62;65
817;76;Belgium;Serie A TiM;3;3;CL;82;56;69;74;73;68
264000;85;Spain;Premier League;4;2;Halloween;98;80;78;87;42;83
731000;86;France;LaLiga Santander;5;5;UCL LiVE;94;83;83;88;39;60
750;77;France;Ligue 1 Conforama;4;4;;62;69;77;75;68;73
11917;82;Brazil;Premier League;3;3;iF;80;81;72;76;41;90
203333;88;Germany;Bundesliga;3;4;Halloween;85;85;81;88;57;73
62333;85;Belgium;Serie A TiM;3;3;iF;74;82;80;85;85;84
25667;84;Chile;Serie A TiM;3;4;Halloween;70;80;85;75;82;86
1500;78;Argentina;SAF;4;3;Normal;68;77;74;78;45;71
168000;84;Brazil;Premier League;4;4;Halloween;89;83;80;88;40;75
750;75;Scotland;Premier League;4;4;Normal;73;74;76;76;65;69
1733;80;Croatia;Premier League;2;4;CL;54;40;59;63;80;78
400;75;Morocco;Liga NOS;4;4;Normal;67;68;71;82;37;61
1200;77;Argentina;Eredivisie;3;3;CL;75;55;70;74;77;76
2433;77;Germany;Bundesliga;4;4;CL;80;62;75;83;72;68
20667;87;Brazil;Premier League;3;4;Normal;66;74;79;79;84;79
933;79;Germany;Bundesliga;2;3;Normal;78;53;66;67;80;75
3000;79;Belgium;Premier League;4;5;CL;76;79;58;78;33;72
933;78;Brazil;Serie A TiM;2;2;Normal;64;47;58;63;80;67
583;77;Paraguay;Serie A TiM;4;4;Normal;76;74;71;77;35;64
1200;77;Argentina;LaLiga Santander;4;3;Normal;83;73;72;75;61;84
567;78;Uruguay;Serie A TiM;4;3;Normal;63;75;78;79;39;58
900;77;Belgium;Belgium Pro League;3;4;Normal;56;73;76;74;69;79
10833;82;Republic of ireland;Premier League;2;3;iF;51;50;55;53;83;84
19583;85;Spain;Liga NOS;3;2;iF;87;65;82;86;79;73
297333;89;Denmark;icons;4;4;icon;82;77;89;90;36;62
12250;85;Belgium;Serie A TiM;3;4;CL;75;82;73;72;35;84
3933;80;France;Premier League;3;3;Normal;81;51;77;77;77;77
750;76;England;Premier League;3;2;Normal;71;54;71;74;75;76
8800;83;Germany;Bundesliga;3;4;Normal;92;81;67;82;35;69
25750;80;France;LaLiga Santander;4;5;Normal;89;64;73;79;75;81
850;81;Armenia;Serie A TiM;4;5;Normal;78;76;78;82;55;66
850;76;England;Premier League;2;3;Normal;60;34;59;65;77;73
883;78;Holland;Serie A TiM;3;3;CL;65;68;72;73;79;79
1400;81;Brazil;Ligue 1 Conforama;4;3;Normal;78;70;78;79;77;74
817;76;Georgia;League of Russia;2;2;CL;72;38;53;42;78;81
1600;79;France;Bundesliga;2;3;Normal;62;34;61;51;80;80
733;75;England;Premier League;4;3;Normal;87;67;68;75;64;62
11667;82;Austria;Bundesliga;3;3;iF;67;62;81;81;73;68
11500;86;Croatia;LaLiga Santander;3;4;Normal;62;81;86;81;74;70
1000;82;Portugal;Premier League;3;4;Normal;62;74;83;76;70;73
500;75;Denmark;EFL Championship;3;4;Normal;72;67;73;75;64;70
700;77;Slovakia;Serie A TiM;3;3;Normal;60;72;72;74;77;88
750;79;Greece;Liga NOS;2;3;CL;57;66;70;70;79;84
617;77;italy;Premier League;3;3;Normal;73;74;56;74;29;69
700;76;Mexico;LiGA Bancomer MX;4;4;Normal;84;73;73;79;33;51
20833;87;Portugal;Premier League;4;3;CL;81;76;83;92;51;67
3033;80;Denmark;LaLiga Santander;3;3;CL;73;77;81;77;76;75
317333;91;Belgium;LaLiga Santander;4;4;CL;91;83;86;94;35;66
295333;86;France;Bundesliga;4;3;UCL LiVE;93;80;80;88;31;63
883;79;Brazil;Ligue 1 Conforama;2;4;Normal;36;52;67;64;80;76
867;75;Spain;LaLiga Santander;3;4;;77;73;71;76;45;64
1100;79;Japan;LaLiga 1 i 2 i 3;4;4;Normal;62;67;75;84;54;45
3700;84;Slovakia;CSL;3;5;Normal;69;77;83;83;72;69
1567;80;England;Premier League;3;3;Normal;77;62;74;79;80;75
900;81;italy;Saudi Professional League;4;4;Normal;81;79;79;87;27;56
83833;86;France;LaLiga Santander;3;4;Halloween;87;81;76;87;45;80
1100;75;italy;Serie A TiM;2;3;CL;32;32;57;59;78;70
2900;81;France;Liga NOS;2;2;Normal;68;64;73;63;83;81
3800;82;Brazil;Premier League;4;4;Normal;85;78;80;85;49;60
833;76;France;Ligue 1 Conforama;2;2;Normal;60;48;60;56;75;79
8500;85;France;Serie A TiM;2;2;Normal;75;66;76;78;83;81
1300;79;Ukraine;Serie A TiM;4;4;CL;71;77;81;77;64;80
1967;79;Portugal;Serie A TiM;3;3;CL;83;49;73;79;73;67
22000;88;Uruguay;Ligue 1 Conforama;3;4;Normal;75;86;72;79;55;83
1200;77;France;Bundesliga;3;3;CL;77;74;75;80;69;65
1433;78;Germany;Bundesliga;3;4;Normal;59;79;59;67;45;73
1133;80;Holland;Premier League;2;3;Normal;75;53;70;72;81;77
1000;80;France;Premier League;2;3;Normal;64;51;59;56;78;83
1200;79;Colombia;LaLiga Santander;3;3;Normal;83;53;69;75;76;77
1300;78;Argentina;SAF;2;2;Normal;50;51;54;54;78;81
750;75;Spain;LaLiga Santander;3;3;Normal;70;52;67;69;73;74
22333;83;Serbia;LaLiga Santander;3;5;OTW;77;82;68;81;29;74
550;76;Argentina;SAF;4;3;Normal;78;72;69;77;72;78
773333;88;Germany;icons;3;4;icon;82;82;87;77;90;80
600;75;Spain;LaLiga Santander;3;3;Normal;64;66;68;69;70;78
700;76;England;Premier League;3;3;Normal;70;68;75;76;59;69
967;80;Uruguay;LaLiga Santander;3;3;CL;64;80;68;73;32;79
500;76;Holland;Eredivisie;3;3;Normal;63;64;77;75;67;69
13917;81;Holland;Eredivisie;4;3;iF;94;79;71;83;36;77
3300;76;Portugal;Liga NOS;3;3;Normal;70;59;68;70;74;75
883;76;Mali;Bundesliga;4;2;CL;73;70;74;76;65;69
850;75;Sweden;Bundesliga;3;3;Normal;77;73;69;78;51;70
2600;75;France;Bundesliga;2;3;Normal;72;39;59;64;74;79
500;76;Morocco;Hellas Liga;3;4;Normal;74;71;76;76;57;71
56333;85;Scotland;Premier League;3;2;CL;85;62;77;79;80;75
867;77;Argentina;Serie A TiM;3;3;;77;75;59;76;39;71
967;80;Spain;Serie A TiM;3;3;Normal;87;70;79;79;52;68
733333;87;Brazil;icons;3;4;icon;82;62;80;80;88;83
1000;75;Belgium;Belgium Pro League;3;5;Normal;67;63;73;70;71;74
500;76;Sweden;Serie A TiM;3;3;Normal;49;65;75;73;71;73
1067;79;italy;Serie A TiM;4;4;CL;74;78;76;79;61;67
2467;83;Senegal;Ligue 1 Conforama;3;3;Normal;73;59;70;78;85;78
2000;83;France;Premier League;3;2;Normal;72;81;62;76;51;82
500;75;Germany;Bundesliga 2;3;3;Normal;69;70;74;76;40;57
1000;79;Uruguay;LaLiga 1 i 2 i 3;4;3;Normal;69;78;69;75;48;82
52500;88;Brazil;Ligue 1 Conforama;2;3;iF;63;55;74;74;89;79
1187667;94;Argentina;LaLiga Santander;4;4;CL;87;92;92;96;39;66
1467;77;Algeria;Bundesliga;4;2;Normal;65;71;75;79;67;74
210000;86;Brazil;Premier League;3;2;iF;69;70;79;79;87;84
10517;85;Argentina;Serie A TiM;4;4;CL;89;78;81;86;39;55
700;76;Argentina;Serie A TiM;4;3;Normal;74;71;72;82;46;65
1300;80;Argentina;Serie A TiM;3;3;Normal;66;47;63;68;83;72
1167;75;Germany;Bundesliga;2;4;Normal;73;48;54;60;76;71
1200;79;England;Premier League;4;3;CL;70;67;76;80;62;79
1500;80;England;Premier League;3;3;Normal;81;30;64;68;79;76
700;77;Denmark;Serie A TiM;3;3;Normal;48;74;81;76;63;62
717333;87;France;icons;4;4;icon;93;82;79;87;43;68
750;78;Spain;LaLiga Santander;3;4;Normal;67;66;78;82;63;52
5633;82;Brazil;Premier League;4;3;Normal;85;80;72;86;39;71
500;76;Brazil;Süper Lig;4;4;;70;72;75;78;45;60
1400;80;France;LaLiga Santander;3;3;Normal;70;66;75;78;78;77
800;75;Mali;Ligue 1 Conforama;3;3;Normal;81;54;68;75;71;69
900;79;Spain;LaLiga Santander;3;3;Normal;63;61;71;74;80;68
12500;78;Korea Republic;CSL;3;3;iF;62;78;70;71;51;85
251667;87;italy;icons;3;3;icon;81;88;67;82;35;67
2267;83;Argentina;LaLiga Santander;4;4;Normal;61;73;84;82;77;70
500;77;Portugal;Liga NOS;3;3;Normal;72;70;76;79;57;51
633;76;Côte d'ivoire;Ligue 1 Conforama;3;4;Normal;68;64;72;72;74;80
6433;84;Germany;Bundesliga;2;4;Normal;66;50;72;66;84;82
23833;84;Belgium;Bundesliga;4;4;OTW;84;80;83;88;48;66
2400;75;Denmark;Bundesliga;3;4;Normal;85;70;68;75;57;73
5433;75;Argentina;LiGA Bancomer MX;3;3;Normal;83;63;69;72;72;75
650;75;Argentina;SAF;4;3;Normal;62;62;75;76;66;81
600;75;Argentina;Campeonato Scotiabank;3;3;Normal;57;68;73;72;67;77
800;80;Colombia;SAF;4;2;Normal;73;77;81;83;37;50
3000;78;Belgium;Premier League;4;4;CL;82;76;67;75;27;74
700;75;Sweden;Süper Lig;3;4;CL;70;70;75;77;34;60
633;79;Croatia;Serie A TiM;3;4;;67;76;64;74;42;72
633;81;Argentina;Major League Soccer;4;2;Normal;78;72;80;82;41;58
384667;85;Argentina;icons;4;4;icon;86;86;70;84;37;70
950;77;Argentina;LaLiga Santander;3;3;Normal;65;76;59;75;31;68
9000;85;Portugal;Liga NOS;4;4;Normal;77;83;87;85;65;74
1400;79;Ghana;Serie A TiM;4;3;CL;74;68;78;82;79;74
500;75;Greece;Hellas Liga;3;4;Normal;73;69;75;78;50;61
3467;80;England;Premier League;3;3;CL;77;62;74;79;80;75
1767;77;Brazil;LaLiga Santander;4;3;Normal;84;66;75;79;72;73
817;78;Belgium;Belgium Pro League;3;3;;60;71;78;77;74;68
700;76;England;Premier League;3;4;Normal;72;74;68;72;41;68
2300;76;France;Ligue 1 Conforama;4;3;;81;75;62;79;30;63
2100;83;Spain;LaLiga Santander;4;3;Normal;90;80;74;81;44;70
3833;78;Switzerland;Bundesliga;3;3;Normal;82;63;75;75;79;82
1151000;91;Argentina;Premier League;4;4;Halloween;88;92;79;90;35;82
700;78;England;Premier League;2;3;Normal;57;79;67;71;37;85
79833;88;France;LaLiga Santander;4;4;iF;77;84;81;87;41;78
617;75;Argentina;LiGA Bancomer MX;3;3;Normal;77;75;67;74;30;67
1200;76;Portugal;Süper Lig;3;4;Normal;77;50;68;71;74;78
800;77;Germany;Bundesliga;3;3;Normal;71;67;74;76;73;75
500;75;Chile;LiGA Bancomer MX;3;3;Normal;68;75;60;69;38;82
479000;89;italy;icons;2;3;icon;76;44;62;67;92;82
717;77;Uruguay;LaLiga Santander;3;3;Normal;68;69;73;73;66;67
1033;76;Côte d'ivoire;Ligue 1 Conforama;3;5;CL;88;76;69;75;36;72
1600;82;Germany;Bundesliga;4;4;Normal;71;78;85;86;56;70
401333;85;England;icons;3;4;icon;91;86;66;79;40;74
833;75;Argentina;League of Russia;3;3;Normal;77;73;58;73;40;69
800;76;Chile;SAF;3;3;Normal;78;48;69;73;73;73
1200;75;Germany;Bundesliga;3;2;Normal;82;48;67;69;71;79
883;75;Germany;Bundesliga;3;3;Normal;75;63;72;77;40;57
36250;84;Portugal;Premier League;4;3;CL;90;65;80;84;78;71
1067;79;Spain;LaLiga Santander;3;4;CL;76;76;76;79;41;75
817;79;France;Ligue 1 Conforama;3;3;Normal;79;54;76;77;74;76
2100;81;Spain;LaLiga Santander;4;3;Normal;85;61;77;80;75;69
850;78;Tunisia;Bundesliga;3;3;Normal;66;68;72;73;79;74
733;76;Costa Rica;LaLiga Santander;2;3;Normal;65;47;54;56;77;75
650;75;Tunisia;Belgium Pro League;3;3;Normal;66;63;67;65;75;76
500;75;Germany;Bundesliga 2;3;4;Normal;56;69;77;76;66;62
833;81;Argentina;SAF;4;4;Normal;75;82;73;80;50;70
933;76;Czech Republic;Bundesliga;3;4;Normal;65;71;74;76;66;60
1800;81;Germany;League of Russia;2;3;CL;52;48;62;65;82;74
1000;80;Poland;Serie A TiM;3;3;Normal;76;80;53;73;38;71
1700;83;Croatia;Bundesliga;4;4;Normal;73;85;73;85;30;71
700;76;Belgium;Serie A TiM;3;3;Normal;82;56;69;74;73;68
2300;82;Germany;Bundesliga;3;4;CL;76;84;79;79;41;83
833;79;Argentina;Serie A TiM;2;3;Normal;56;49;47;57;80;76
700;75;Spain;LaLiga Santander;3;3;Normal;77;76;68;76;40;62
611667;87;Mexico;icons;4;3;icon;91;87;73;87;47;68
1933;75;Mali;Ligue 1 Conforama;3;3;CL;84;47;64;74;71;72
1050;80;Spain;LaLiga Santander;3;3;Normal;82;71;77;81;55;61
332667;87;England;icons;3;3;icon;68;83;90;78;66;76
2133;78;Spain;Ligue 1 Conforama;2;3;Normal;71;33;55;58;77;78
850;75;Senegal;Belgium Pro League;3;4;Normal;93;67;66;78;47;63
567;75;Turkey;Süper Lig;3;3;Normal;81;65;73;77;63;67
800;78;France;Ligue 1 Conforama;4;4;Normal;54;75;80;77;62;69
7000;84;France;Bundesliga;4;3;Normal;92;76;77;86;29;60
850;77;France;Ligue 1 Conforama;2;3;Normal;76;40;64;69;76;80
821667;90;Brazil;icons;4;2;icon;85;90;87;90;43;77
1300;78;Holland;Eredivisie;3;3;Normal;80;50;66;71;76;87
500;76;Ghana;Liga NOS;2;3;Normal;67;49;60;66;77;83
3800;84;Slovenia;Serie A TiM;4;4;Normal;70;84;84;84;43;67
1139667;86;Holland;icons;3;5;icon;80;80;86;82;83;78
2500;81;Denmark;Bundesliga;3;3;Normal;83;74;67;75;56;82
750;78;Portugal;Hellas Liga;4;4;Normal;93;63;70;84;33;51
633;78;Spain;LaLiga Santander;3;3;Normal;76;72;79;82;59;56
767;77;England;Premier League;4;3;Normal;64;64;78;78;68;64
1767;75;Greece;Bundesliga;2;3;CL;68;35;59;57;75;71
5400;84;Germany;Bundesliga;4;4;Normal;84;78;79;84;44;65
3784667;89;Portugal;icons;4;5;icon;95;91;82;90;43;78
164000;85;France;LaLiga Santander;2;3;CL;83;45;62;64;85;80
1367;75;France;Bundesliga;4;4;Normal;74;64;73;76;66;53
2000;82;France;Premier League;3;3;Normal;46;81;71;73;42;79
500;75;Cameroon;Saudi Professional League;3;3;Normal;75;74;49;70;24;77
700;78;Turkey;LaLiga Santander;3;4;Normal;68;70;73;73;75;84
900;76;Mexico;LaLiga Santander;2;3;Normal;68;41;55;59;76;77
700;79;Spain;Serie A TiM;4;3;Normal;75;74;79;84;41;54
600;75;England;Premier League;3;4;Normal;52;65;75;70;66;66
783;78;England;Premier League;2;3;Normal;46;40;55;61;78;77
1000;77;Austria;Bundesliga;3;3;CL;83;65;73;77;73;73
13417;82;England;Premier League;2;3;OTW;50;53;64;70;81;84
2200;79;Argentina;Bundesliga;3;3;CL;71;77;59;75;29;75
683;77;Denmark;LaLiga Santander;4;4;Normal;80;75;72;81;47;63
500;75;Colombia;Süper Lig;3;3;Normal;75;73;68;75;43;71
4033;83;Spain;LaLiga Santander;4;3;CL;81;80;82;84;43;62
800;75;Wales;Premier League;2;2;Normal;66;40;63;67;76;72
700;76;Spain;LaLiga Santander;4;2;Normal;69;76;77;80;54;69
983;79;Belgium;LaLiga Santander;4;4;Normal;76;76;74;82;29;56
783;76;Spain;LaLiga Santander;3;2;Normal;85;65;68;77;70;70
1767;80;Germany;Bundesliga;2;3;Normal;73;57;71;67;80;79
900;81;Brazil;Süper Lig;3;3;Normal;58;60;69;70;80;82
800;81;Nigeria;Premier League;3;4;Normal;71;62;67;74;83;82
140333;86;Germany;Premier League;4;3;CL;95;81;79;86;38;70
1000;80;Morocco;Süper Lig;4;4;CL;73;76;78;83;57;71
733;78;Algeria;Ligue 1 Conforama;4;4;Normal;71;77;79;78;40;59
2900;83;italy;Premier League;3;3;CL;55;63;84;81;70;73
1200;78;England;Premier League;2;3;Normal;41;32;57;55;80;75
700;76;Spain;LaLiga Santander;2;2;Normal;68;36;65;67;77;70
13750;81;France;Premier League;3;3;Normal;80;70;78;79;79;89
247667;86;italy;icons;3;4;icon;84;86;70;80;37;81
605333;92;Belgium;Premier League;4;5;iF;77;88;93;88;62;80
58833;85;Brazil;Serie A TiM;3;3;CL;83;65;77;80;82;82
517;75;Denmark;LaLiga Santander;4;4;Normal;75;74;69;76;35;75
5000;84;Spain;Serie A TiM;3;3;Normal;89;78;75;83;47;64
867;76;italy;Serie A TiM;3;3;Normal;74;74;72;78;45;69
567;75;Japan;Premier League;3;4;Normal;77;72;68;78;41;62
12750;78;Brazil;Premier League;3;4;OTW;78;75;60;76;43;81
14417;84;France;Bundesliga;4;3;iF;79;85;80;81;42;77
1089667;90;Northern ireland;icons;4;4;icon;90;90;83;93;57;70
2900;83;Portugal;LaLiga Santander;3;4;Normal;42;57;77;74;79;85
1433;82;italy;Serie A TiM;4;4;CL;84;77;78;84;42;57
1500;77;Brazil;Ligue 1 Conforama;3;3;Normal;77;57;71;73;76;75
1367;78;Portugal;Liga NOS;3;3;Normal;58;76;79;76;67;66
730333;85;italy;icons;4;4;icon;90;85;82;91;41;63
880667;85;France;icons;2;3;icon;83;82;75;84;79;78
500;77;Turkey;Süper Lig;4;3;Normal;75;73;75;76;55;67
917;78;Côte d'ivoire;Süper Lig;3;4;CL;68;68;79;79;68;63
1900;75;Argentina;Premier League;3;3;Normal;49;56;70;72;79;70
717;77;Romania;Serie A TiM;2;3;;63;64;56;63;80;69
2600;80;Germany;Bundesliga;3;3;Normal;69;66;72;72;80;80
1000;78;Germany;Bundesliga;3;3;Normal;64;67;79;78;75;67
568333;89;Holland;icons;3;4;icon;83;91;72;86;35;76
650;75;Spain;LaLiga Santander;3;3;Normal;61;73;71;70;73;71
850;75;Nigeria;Ligue 1 Conforama;4;5;Normal;92;70;64;80;36;63
1033;80;Paraguay;Premier League;4;2;Normal;89;74;76;81;48;63
900;75;Brazil;CSL;4;4;Normal;78;71;76;73;24;69
2700;81;England;Premier League;3;2;Normal;82;54;75;80;80;78
2000;80;Mexico;Premier League;3;4;Normal;78;78;71;75;47;79
950;81;Holland;Eredivisie;3;3;Normal;71;78;77;79;71;79
56167;85;Brazil;Premier League;3;2;CL;68;69;78;77;85;83
583;75;Ghana;Premier League;4;3;Normal;76;74;70;75;45;72
2200;75;England;EFL Championship;2;2;Normal;52;77;57;68;37;69
1000;80;Spain;LaLiga Santander;2;3;Normal;79;49;72;71;79;77
1133;75;France;LaLiga Santander;4;4;Normal;87;73;70;76;40;64
11667;82;Syria;Saudi Professional League;3;4;iF;74;84;74;77;43;85
22167;88;Uruguay;Ligue 1 Conforama;3;4;CL;75;86;72;79;55;83
1900;80;Brazil;Ligue 1 Conforama;2;4;Normal;53;65;62;61;81;71
1067;75;France;Serie A TiM;4;4;Normal;79;69;69;78;31;62
4133;79;Brazil;Serie A TiM;3;4;Normal;71;70;74;74;78;76
833;75;France;Ligue 1 Conforama;3;2;Normal;77;74;68;78;29;55
1000;75;England;Premier League;2;3;Normal;44;77;61;67;44;80
2800;77;France;Ligue 1 Conforama;4;3;CL;74;77;66;73;37;68
11333;79;Croatia;Croatia Liga;3;4;iF;93;84;74;81;56;66
1000;79;Ukraine;Premier League;4;2;Normal;68;80;78;81;42;70
4200;80;Brazil;Ukraine Liga;4;2;Normal;82;66;74;81;75;75
1067;75;Spain;LaLiga Santander;3;4;CL;78;69;69;76;32;57
12167;84;France;Bundesliga;4;3;CL;92;76;77;86;29;60
600;76;England;Premier League;3;3;Normal;64;69;75;73;61;62
500;75;Mali;Premier League;4;3;Normal;74;65;72;76;73;70
850;79;France;Premier League;2;4;Normal;64;35;62;62;78;82
583;79;Spain;LaLiga Santander;3;3;Normal;80;64;71;74;78;81
3033;83;Belgium;Belgium Pro League;2;3;Normal;50;53;65;64;84;79
650;75;Japan;Österreichische Fußball-Bundesliga;3;4;Normal;89;72;67;79;41;65
1100;75;Germany;Bundesliga 2;2;3;Normal;67;38;54;60;75;77
1000;78;Chile;Ligue 1 Conforama;2;2;Normal;40;33;48;48;78;79
1767;75;Chile;Süper Lig;3;3;Normal;77;54;73;75;72;72
767;76;France;League of Russia;2;2;Normal;65;29;61;59;76;79
500;75;Scotland;Scottish Premiership;3;4;Normal;77;70;70;76;63;77
1400;82;Sweden;Bundesliga;4;4;Normal;70;71;81;83;33;62
700;76;Switzerland;Serie A TiM;3;4;Normal;57;73;76;76;71;66
1300;80;Brazil;LaLiga Santander;2;2;Normal;70;55;61;65;78;82
