avg price;overall_rating;club;nation;league;position;skills;weakfoot;foot;origin;pac;sho;pas;dri;def;phy
20667;87;Manchester City;Brazil;Premier League;CDM;3;4;Right;N\A;66;74;79;79;84;79
124000;86;Manchester City;Germany;Premier League;LW;4;3;Left;N\A;95;81;79;86;38;70
96333;88;Manchester City;England;Premier League;RW;4;3;Right;N\A;93;79;78;89;45;57
6900;84;Manchester City;Algeria;Premier League;RW;5;4;Left;N\A;84;78;79;89;38;59
16833;87;Manchester City;Portugal;Premier League;RW;4;3;Left;N\A;81;76;83;92;51;67
58667;84;Manchester City;England;Premier League;RB;2;2;Right;N\A;91;63;76;77;81;81
29333;87;Manchester City;France;Premier League;CB;2;3;Left;N\A;64;50;71;69;88;82
5633;82;Manchester City;Brazil;Premier League;ST;4;3;Right;N\A;85;80;72;86;39;71
3933;80;Manchester City;France;Premier League;LB;3;3;Left;N\A;81;51;77;77;77;77
1178333;94;FC Barcelona;Argentina;LaLiga Santander;RW;4;4;Left;N\A;87;92;92;96;39;66
32917;89;FC Barcelona;Uruguay;LaLiga Santander;ST;3;4;Right;N\A;73;89;80;84;51;84
12750;86;FC Bayern München;Brazil;Bundesliga;LW;5;4;Right;N\A;79;80;84;90;52;64
29000;89;FC Barcelona;Spain;LaLiga Santander;CDM;3;3;Right;N\A;42;62;80;81;85;80
11500;86;FC Barcelona;Croatia;LaLiga Santander;CM;3;4;Right;N\A;62;81;86;81;74;70
23500;88;FC Barcelona;Spain;LaLiga Santander;CB;2;3;Right;N\A;56;61;72;69;88;80
48083;87;FC Barcelona;Spain;LaLiga Santander;LB;3;3;Left;N\A;90;69;81;83;79;73
23500;86;FC Barcelona;France;LaLiga Santander;CB;2;3;Left;N\A;69;63;69;70;86;82
305667;91;Real Madrid;Belgium;LaLiga Santander;LW;4;4;Right;N\A;91;83;86;94;35;66
322667;89;Chelsea;France;Premier League;CDM;2;3;Right;N\A;78;65;77;81;87;83
2500;83;Chelsea;italy;Premier League;CM;3;3;Right;N\A;55;63;84;81;70;73
2000;82;Chelsea;France;Premier League;ST;3;3;Left;N\A;46;81;71;73;42;79
1800;77;Chelsea;italy;Premier League;LB;3;3;Left;N\A;79;59;68;78;74;62
32417;89;FC Bayern München;Poland;Bundesliga;ST;4;4;Right;N\A;77;87;74;85;41;82
17917;87;Borussia Dortmund;Germany;Bundesliga;CB;3;3;Right;N\A;51;58;76;73;89;76
8400;85;Real Madrid;Colombia;LaLiga Santander;CAM;4;2;Left;N\A;55;86;87;86;50;63
16750;87;FC Bayern München;Spain;Bundesliga;CM;5;3;Right;N\A;69;74;85;90;69;63
13417;86;FC Bayern München;Germany;Bundesliga;CAM;3;4;Right;N\A;72;83;79;78;55;71
13417;86;FC Bayern München;Germany;Bundesliga;RB;3;4;Right;N\A;72;69;86;84;79;78
23500;85;FC Bayern München;Austria;Bundesliga;LB;3;4;Left;N\A;83;73;81;80;80;76
8800;85;FC Bayern München;Germany;Bundesliga;CB;2;3;Right;N\A;72;42;55;51;86;82
231000;90;Liverpool;Egypt;Premier League;RW;4;3;Left;N\A;93;86;81;89;45;74
57833;86;Liverpool;Brazil;Premier League;CF;4;4;Right;N\A;77;82;80;87;61;78
343333;88;Liverpool;Senegal;Premier League;LW;4;4;Right;N\A;94;83;77;88;44;74
550000;90;Liverpool;Holland;Premier League;CB;2;3;Right;N\A;77;60;70;72;90;86
49333;85;Liverpool;Brazil;Premier League;CDM;3;2;Right;N\A;68;69;78;77;85;83
50000;85;Liverpool;Scotland;Premier League;LB;3;2;Left;N\A;85;62;77;79;80;75
30000;89;Tottenham Hotspur;England;Premier League;ST;3;4;Right;N\A;70;91;79;81;47;83
47750;88;Tottenham Hotspur;Denmark;Premier League;CAM;4;5;Right;N\A;73;81;90;84;53;63
18750;87;Tottenham Hotspur;Belgium;Premier League;CB;3;3;Left;N\A;63;63;74;73;87;79
17917;87;Tottenham Hotspur;Belgium;Premier League;CB;2;3;Right;N\A;64;55;72;67;88;79
381667;87;Tottenham Hotspur;Korea Republic;Premier League;CF;4;5;Right;N\A;88;86;80;87;42;68
11750;83;Tottenham Hotspur;Colombia;Premier League;CB;2;3;Right;N\A;74;45;57;67;83;81
185667;88;Arsenal;Gabon;Premier League;ST;4;4;Right;N\A;94;85;75;80;37;69
31750;86;Arsenal;France;Premier League;ST;4;4;Right;N\A;82;85;75;86;40;74
47250;90;Real Madrid;Croatia;LaLiga Santander;CM;4;4;Right;N\A;74;76;89;90;72;66
98000;89;Real Madrid;Spain;LaLiga Santander;CB;3;3;Right;N\A;72;68;75;74;87;85
23000;88;Real Madrid;Germany;LaLiga Santander;CM;3;5;Right;N\A;45;80;90;81;70;69
13000;86;Real Madrid;Spain;LaLiga Santander;CAM;4;3;Right;N\A;71;77;83;90;59;60
16500;85;Real Madrid;Brazil;LaLiga Santander;LB;5;4;Left;N\A;81;74;83;89;77;79
16250;87;Real Madrid;Brazil;LaLiga Santander;CDM;2;3;Right;N\A;62;72;75;72;85;89
152667;85;Real Madrid;France;LaLiga Santander;CB;2;3;Right;N\A;83;45;62;64;85;80
11083;85;Real Madrid;Spain;LaLiga Santander;RB;3;3;Right;N\A;81;47;78;81;82;80
16667;87;Real Madrid;France;LaLiga Santander;CF;4;4;Right;N\A;76;82;80;86;39;77
3067;82;Real Madrid;Spain;LaLiga Santander;CB;2;4;Right;N\A;74;37;66;65;81;79
850;81;Real Madrid;Spain;LaLiga Santander;RW;4;4;Right;N\A;82;73;79;81;58;69
9000;85;Sporting CP;Portugal;Liga NOS;CAM;4;4;Right;N\A;77;83;87;85;65;74
30833;87;Napoli;italy;Serie A TiM;CF;4;4;Right;N\A;89;79;85;91;35;47
49833;87;Napoli;Belgium;Serie A TiM;CF;4;4;Right;N\A;88;83;80;90;35;53
27583;89;Napoli;Senegal;Serie A TiM;CB;2;3;Right;N\A;71;28;54;68;89;87
27000;85;Napoli;Brazil;Serie A TiM;CM;4;3;Right;N\A;75;71;78;84;85;84
15250;85;Napoli;Greece;Serie A TiM;CB;2;2;Right;N\A;82;25;42;62;86;81
835000;92;Paris Saint-Germain;Brazil;Ligue 1 Conforama;LW;5;5;Right;N\A;91;85;87;95;32;58
22000;88;Paris Saint-Germain;Uruguay;Ligue 1 Conforama;ST;3;4;Right;N\A;75;86;72;79;55;83
17167;87;Paris Saint-Germain;Brazil;Ligue 1 Conforama;CB;2;3;Right;N\A;62;54;72;73;87;78
838667;89;Paris Saint-Germain;France;Ligue 1 Conforama;ST;5;4;Right;N\A;96;84;78;90;39;75
12833;86;Paris Saint-Germain;italy;Ligue 1 Conforama;CM;4;4;Right;N\A;65;60;84;90;79;66
14000;86;Paris Saint-Germain;Brazil;Ligue 1 Conforama;CB;3;3;Right;N\A;74;41;73;71;86;77
13417;86;Paris Saint-Germain;Argentina;Ligue 1 Conforama;RW;5;2;Left;N\A;84;79;84;87;48;68
3600;83;Paris Saint-Germain;Germany;Ligue 1 Conforama;CAM;4;5;Right;N\A;77;79;81;86;55;63
15167;88;inter;Uruguay;Serie A TiM;CB;2;3;Right;N\A;60;48;64;63;89;83
156667;89;FC Barcelona;France;LaLiga Santander;CF;4;3;Left;N\A;81;86;84;89;57;72
9000;85;Atletico Madrid;Spain;LaLiga Santander;RM;3;4;Right;N\A;68;75;86;82;74;79
8200;85;Atletico Madrid;Spain;LaLiga Santander;CM;3;4;Left;N\A;70;78;79;81;78;78
8333;85;Atletico Madrid;Uruguay;LaLiga Santander;CB;2;3;Right;N\A;69;45;52;56;86;82
1633;82;Atletico Madrid;Montenegro;LaLiga Santander;CB;2;3;Right;N\A;55;35;54;58;84;72
8433;85;Manchester City;Spain;Premier League;CDM;3;4;Right;N\A;67;68;77;78;82;80
10583;86;Lazio;italy;Serie A TiM;ST;3;4;Right;N\A;80;85;63;81;39;76
14000;85;Lazio;Serbia;Serie A TiM;CM;4;4;Right;N\A;67;79;80;82;77;84
1000;80;Sevilla FC;Spain;LaLiga Santander;CB;2;2;Right;N\A;64;41;65;64;81;75
13917;86;inter;Slovakia;Serie A TiM;CB;2;4;Right;N\A;69;41;59;66;87;82
1000;80;Atletico Madrid;Spain;LaLiga Santander;CB;2;3;Left;N\A;79;49;72;71;79;77
1300;80;Real Betis;Algeria;LaLiga Santander;CB;2;3;Right;N\A;66;46;74;71;81;72
1300;80;Real Betis;Brazil;LaLiga Santander;CB;2;2;Right;N\A;70;55;61;65;78;82
11500;86;Valencia CF;Spain;LaLiga Santander;CM;3;4;Right;N\A;41;80;88;79;70;69
8700;85;Ajax;Morocco;Eredivisie;CAM;4;2;Left;N\A;80;75;86;83;50;66
9667;85;Piemonte Calcio;Holland;Serie A TiM;CB;2;4;Right;N\A;67;58;66;69;83;84
22000;85;FC Barcelona;Holland;LaLiga Santander;CM;4;3;Right;N\A;79;64;84;88;76;76
7633;85;Atalanta;Argentina;Serie A TiM;CAM;4;4;Right;N\A;89;78;81;86;39;55
7333;85;LA Galaxy;Sweden;Major League Soccer;ST;5;4;Right;N\A;56;88;77;78;34;78
430333;91;icons;italy;icons;CB;2;3;Right;Medium;69;48;74;70;94;80
3246333;91;icons;Portugal;icons;CF;4;5;Right;Medium;93;93;88;90;42;74
3049667;91;icons;Holland;icons;CF;5;5;Right;Medium;91;89;88;93;41;72
805333;91;icons;italy;icons;CAM;5;4;Right;Medium;88;82;89;90;38;60
1089667;90;icons;Northern ireland;icons;RW;4;4;Right;Medium;90;90;83;93;57;70
876667;90;icons;Portugal;icons;RW;4;4;Right;Medium;90;86;88;91;40;78
453667;90;icons;Holland;icons;ST;3;3;Right;Medium;82;88;72;82;38;80
987667;90;icons;Bulgaria;icons;LW;4;3;Left;Medium;90;90;87;90;48;84
1293000;90;icons;Spain;icons;ST;3;5;Right;Medium;92;88;81;91;42;70
821667;90;icons;Brazil;icons;CF;4;2;Left;Medium;85;90;87;90;43;77
3784667;89;icons;Portugal;icons;CF;4;5;Right;Base;95;91;82;90;43;78
479000;89;icons;italy;icons;CB;2;3;Right;Medium;76;44;62;67;92;82
432333;89;icons;Spain;icons;CB;2;3;Right;Medium;71;66;75;70;90;84
361333;89;icons;Wales;icons;LM;3;2;Left;Medium;84;80;90;88;47;64
639333;89;icons;England;icons;ST;3;4;Right;Medium;89;90;70;84;38;74
358000;89;icons;England;icons;CB;2;3;Right;Medium;66;60;81;75;91;83
511667;89;icons;England;icons;CM;3;3;Right;Medium;71;86;89;81;64;80
378333;89;icons;Germany;icons;ST;3;4;Right;Medium;83;87;75;81;42;78
1108000;89;icons;Brazil;icons;CAM;4;5;Right;Medium;82;88;88;88;46;83
2149333;89;icons;Holland;icons;CF;5;5;Right;Base;92;87;85;92;40;70
479000;89;icons;France;icons;ST;4;4;Right;Medium;82;90;68;80;43;76
939000;89;icons;England;icons;CM;3;3;Right;Medium;80;86;88;84;75;80
528667;89;icons;italy;icons;CF;5;4;Right;Base;82;83;90;90;41;61
986667;89;icons;Germany;icons;CM;4;4;Right;Medium;78;87;88;82;78;88
938333;88;icons;Northern ireland;icons;RW;4;4;Right;Base;91;88;81;92;59;70
688333;88;icons;Portugal;icons;CAM;4;4;Right;Base;88;84;87;88;42;77
334667;88;icons;italy;icons;CB;2;3;Right;Base;71;47;70;72;89;82
531000;88;icons;Republic of ireland;icons;CM;2;3;Right;Medium;74;72;84;78;85;88
1004667;88;icons;Holland;icons;CM;4;4;Right;Medium;82;85;87;86;70;85
449333;88;icons;England;icons;CM;3;4;Right;Medium;66;88;87;83;70;76
691667;88;icons;Spain;icons;CF;4;4;Left;Medium;86;86;78;88;45;72
197333;87;icons;Germany;icons;ST;3;4;Right;Base;77;85;73;78;41;70
541667;87;icons;italy;icons;CB;2;3;Right;Base;82;42;60;68;90;81
691667;87;icons;italy;icons;CF;4;4;Right;Medium;88;87;85;90;41;64
331333;87;icons;Wales;icons;LM;3;2;Left;Base;91;78;84;87;40;60
331667;87;icons;England;icons;ST;3;4;Right;Base;84;88;70;81;40;75
338333;87;icons;England;icons;CB;2;3;Right;Base;70;60;78;73;90;83
332667;87;icons;England;icons;CM;3;3;Right;Base;68;83;90;78;66;76
676667;87;icons;Bulgaria;icons;ST;4;3;Left;Base;87;88;85;87;44;81
806667;87;icons;Spain;icons;ST;3;5;Right;Base;90;86;75;89;40;64
734667;87;icons;Brazil;icons;CAM;4;5;Right;Base;80;86;87;87;47;82
581667;87;icons;France;icons;CDM;3;3;Right;Medium;78;47;77;77;86;85
574667;87;icons;Brazil;icons;CAM;4;2;Left;Base;86;87;85;88;42;76
583333;87;icons;England;icons;CB;2;3;Right;Medium;82;44;58;55;87;87
252000;86;icons;Japan;icons;CAM;4;4;Right;Medium;82;81;85;85;64;66
342000;86;icons;Argentina;icons;CM;3;4;Right;Base;70;80;85;81;74;79
386667;86;icons;Spain;icons;CB;2;3;Right;Base;75;65;73;71;87;82
247667;86;icons;italy;icons;ST;3;4;Left;Base;84;86;70;80;37;81
213000;86;icons;Holland;icons;ST;3;3;Right;Base;78;86;70;78;40;75
340333;86;icons;Republic of ireland;icons;CM;2;3;Right;Base;66;70;81;77;88;87
257000;86;icons;France;icons;ST;4;4;Right;Base;84;86;66;77;40;75
436667;86;icons;England;icons;CM;3;4;Right;Base;75;86;85;82;70;76
506333;86;icons;England;icons;CDM;3;3;Right;Base;70;85;88;78;80;81
306000;86;icons;Spain;icons;CF;4;4;Left;Base;77;85;80;86;50;71
581667;86;icons;Germany;icons;CM;4;4;Right;Base;72;86;86;78;80;83
730333;85;icons;italy;icons;CF;4;4;Right;Base;90;85;82;91;41;63
253667;85;icons;France;icons;RM;3;3;Right;Base;86;64;80;82;70;80
655667;85;icons;Holland;icons;CM;4;4;Right;Base;83;81;84;84;71;83
480000;85;icons;italy;icons;CM;2;3;Right;Base;73;66;76;74;90;88
3362333;94;icons;France;icons;CAM;5;5;Right;Medium;82;90;93;92;72;83
2487667;91;icons;France;icons;CM;5;5;Right;Base;84;86;91;90;73;81
426667;87;icons;Spain;icons;CDM;3;3;Right;Medium;78;65;82;79;85;78
359333;85;icons;Spain;icons;CDM;3;3;Right;Base;75;65;82;76;85;77
642000;88;icons;Holland;icons;CB;3;3;Right;Medium;77;86;86;79;87;83
333333;85;icons;Holland;icons;CB;3;3;Right;Base;67;84;87;76;86;82
698333;87;icons;Ghana;icons;CDM;3;4;Right;Medium;77;71;80;80;86;85
766000;85;icons;Ghana;icons;CDM;3;3;Right;Base;83;72;75;78;85;87
663000;87;icons;italy;icons;LB;4;5;Right;Medium;87;70;82;82;86;85
641667;86;icons;italy;icons;RWB;4;5;Right;Base;91;72;82;84;82;84
1746333;90;icons;Scotland;icons;CF;4;5;Right;Medium;87;90;79;89;42;71
1508333;87;icons;Scotland;icons;ST;4;5;Right;Base;87;88;74;88;40;70
584000;87;icons;England;icons;LW;4;4;Left;Medium;88;83;82;87;40;82
479333;86;icons;England;icons;CAM;4;4;Left;Base;82;83;86;87;61;84
428333;87;icons;England;icons;ST;3;4;Right;Medium;85;89;69;82;40;75
401333;85;icons;England;icons;ST;3;4;Right;Base;91;86;66;79;40;74
592333;89;icons;Wales;icons;ST;3;4;Right;Medium;83;90;72;85;44;80
479000;87;icons;Wales;icons;ST;3;4;Right;Base;86;88;70;83;41;79
686333;89;icons;Mexico;icons;ST;3;3;Left;Medium;90;88;78;88;41;70
480667;87;icons;Mexico;icons;ST;3;4;Left;Base;88;88;78;85;43;70
1357333;92;icons;Brazil;icons;RW;5;4;Right;Medium;90;86;92;94;41;67
1039000;90;icons;Brazil;icons;RW;5;4;Right;Base;90;83;88;93;41;67
1111000;89;icons;Côte d'ivoire;icons;ST;4;4;Right;Medium;85;90;75;80;46;88
958333;87;icons;Côte d'ivoire;icons;ST;4;4;Right;Base;88;87;71;80;43;86
828000;90;icons;Brazil;icons;RB;3;4;Right;Medium;90;63;80;83;87;84
733333;87;icons;Brazil;icons;CB;3;4;Right;Base;82;62;80;80;88;83
825000;90;icons;italy;icons;CM;5;4;Right;Medium;75;79;93;90;68;65
533333;88;icons;italy;icons;CM;5;4;Right;Base;70;79;91;90;66;64
1022000;89;icons;Brazil;icons;CAM;5;4;Right;Medium;85;82;87;90;43;70
930667;87;icons;Brazil;icons;CAM;5;4;Right;Base;88;80;83;90;41;67
467;79;Tottenham Hotspur;England;Premier League;CDM;2;3;Right;N\A;54;63;71;65;80;84
1300;79;Real Madrid;Brazil;LaLiga Santander;LW;5;4;Right;N\A;93;70;71;84;29;63
7100;81;Real Madrid;Brazil;LaLiga Santander;CB;2;2;Right;N\A;79;50;66;71;81;81
7467;84;Borussia Dortmund;England;Bundesliga;RM;5;4;Right;N\A;88;72;77;90;36;60
6967;79;Manchester United;England;Premier League;RB;4;2;Right;N\A;87;50;63;78;80;72
1500;83;Real Madrid;Serbia;LaLiga Santander;ST;3;5;Right;N\A;77;82;68;81;29;74
1067;80;Atletico Madrid;Portugal;LaLiga Santander;CF;5;4;Right;N\A;82;80;74;81;40;70
13000;83;Arsenal;Côte d'ivoire;Premier League;RM;4;3;Left;N\A;91;81;75;85;33;67
600;77;Norwich City;Finland;Premier League;ST;3;3;Right;N\A;77;75;58;75;33;69
2500;81;Chelsea;Spain;Premier League;LB;3;3;Left;N\A;66;73;79;77;79;79
2700;81;Manchester United;England;Premier League;LB;3;2;Left;N\A;82;54;75;80;80;78
1567;80;Tottenham Hotspur;England;Premier League;LB;3;3;Left;N\A;77;62;74;79;80;75
550;79;Arsenal;Bosnia and Herzegovina;Premier League;LB;3;2;Left;N\A;75;62;72;72;75;87
1833;79;Manchester City;Spain;Premier League;LB;4;3;Left;N\A;85;64;79;80;72;78
733;79;Tottenham Hotspur;Wales;Premier League;LB;3;3;Left;N\A;73;58;75;75;78;74
567;79;Leicester City;England;Premier League;LB;3;3;Left;N\A;78;49;71;77;76;75
667;78;Southampton;England;Premier League;LB;3;3;Left;N\A;76;53;70;76;76;70
700;76;Rangers FC;England;Scottish Premiership;ST;3;4;Right;N\A;67;82;60;76;26;56
850;82;Buenos Aires;italy;SAF;CDM;2;4;Right;N\A;59;64;73;70;85;77
6200;76;Chicago Fire Soccer Club;Germany;Major League Soccer;CB;3;3;Right;N\A;34;71;79;72;74;73
950;76;Fenerbahçe SK;Turkey;Süper Lig;LB;3;2;Left;N\A;74;56;68;71;74;72
817;75;Bournemouth;England;Premier League;CB;2;4;Right;N\A;51;44;67;64;75;71
1400;81;Liverpool;England;Premier League;CM;3;4;Right;N\A;61;70;82;78;77;78
900;80;Orlando City Soccer Club;Portugal;Major League Soccer;LW;5;5;Right;N\A;72;75;79;86;37;62
3033;83;RSC Anderlecht;Belgium;Belgium Pro League;CB;2;3;Right;N\A;50;53;65;64;84;79
800;80;Hebei China Fortune FC;Argentina;CSL;CDM;2;3;Right;N\A;66;53;72;69;79;75
1900;75;West Ham United;Argentina;Premier League;RB;3;3;Right;N\A;49;56;70;72;79;70
567;76;Club Atletico Banfield;Argentina;SAF;CM;4;3;Left;N\A;61;76;80;77;51;60
1500;78;Buenos Aires;Argentina;SAF;CAM;4;3;Right;N\A;68;77;74;78;45;71
550;76;Club Atletico Lanús;Argentina;SAF;ST;3;4;Right;N\A;46;79;61;66;36;74
1067;77;Racing Club;Argentina;SAF;ST;3;3;Right;N\A;60;76;71;75;37;69
500;75;Molde FK;Norway;Eliteserien;CAM;3;4;Right;N\A;65;69;77;74;47;51
850;80;Tigres U.A.N.L.;France;LiGA Bancomer MX;ST;3;3;Right;N\A;69;82;71;72;43;83
650;76;West Ham United;Scotland;Premier League;RM;3;3;Left;N\A;61;74;77;77;47;71
1300;82;Atletico Madrid;Mexico;LaLiga Santander;CM;3;4;Right;N\A;72;75;75;76;78;81
3600;83;Villarreal CF;Spain;LaLiga Santander;CB;2;3;Right;N\A;48;41;61;64;86;72
783;77;Lokomotiv Moscow;Peru;League of Russia;RM;4;3;Right;N\A;84;73;75;76;36;75
